,name,area,city,specialization,consultationfee,rating,experience,hospitalname,stories
47,Dr. Lipy Gupta,Saket,Delhi,Dermatologist,800,96,18,Max Super Speciality Hospital - Saket West Wing,316
48,Dr. Aamir Siddiqui,New Friends Colony,Delhi,Dermatologist,2000,96,15,Dr. Siddiqui's Skin Clinic,331
49,Dr. Geetika Srivastava,Hauz Khas,Delhi,Dermatologist,1000,98,11,Influennz Skin & Hair Clinic,115
50,Dr. Rahul Arora,Shalimar Bagh,Delhi,Dermatologist,1100,100,13,Max Super Speciality Hospital,30
51,Dr. Jai Dhingra,Pitampura,Delhi,Dermatologist,600,99,12,D'Care Skin & Dental Centre,107
52,Dr. Gunjan Aggarwal,Rohini Sector 5,Delhi,Dermatologist,500,100,11,RS Child And Skin Care Clinic,10
53,Dr. Namrata Ghai,Bali Nagar,Delhi,Dermatologist,1000,92,22,Sunshine Skin & Hair Clinic,39
54,Dr. Anuj Saigal,Green Park,Delhi,Dermatologist,1200,97,15,MedRootz Clinics,190
55,Dr. Jaya Gupta,Kamla Nagar,Delhi,Dermatologist,800,98,12,Jaya Skin Clinic,37
56,Dr. Tanvi Gupta Arora,Pusa Road,Delhi,Dermatologist,1000,100,12,Alive Wellness Clinics,3
57,Dr. Navjot Singh Arora,Dwarka Sector 7,Delhi,Dermatologist,900,97,12,"Dr Navjot Arora's Dermaheal Skin, Hair & Aesthetic Clinic",201
58,Dr. Sheraun,Pitampura,Delhi,Dermatologist,700,100,4,Oliva Skin & Hair Clinic,13
59,Dr. Shilpi Bansal,Rohini Sector 3,Delhi,Dermatologist,600,96,6,Elite Clinic,25
60,Dr. Sunakshi Singh,CR Park,Delhi,Dermatologist,1000,90,14,Advanced Dermatology & Hair Transplant Clinic,80
61,Dr. Abhishek Sharma,South Extension 1,Delhi,Dermatologist,1200,99,12,Sharma Multispeciality Clinic ,169
62,Dr. Mayuri Jain,Punjabi Bagh,Delhi,Dermatologist,700,,8,THE SKIN DNA,169
63,Dr. Indu Kumari,Malviya Nagar,Delhi,Dermatologist,1000,95,12,All India Skin And Hair Hospital,23
64,Dr. Kritika Gupta,Greater Kailash Part 1,Delhi,Dermatologist,1000,,3,Skinroots- Skin And Hair Transplant Clinic,23
65,Dr. Mukesh Girdhar,Patparganj,Delhi,Dermatologist,1200,74,36,Max Super Speciality Hospital,12
66,Dr. S.K Kashyap,Vasant Vihar,Delhi,Dermatologist,1500,95,19,Tvak Laser Clinic,100
67,Dr. Gunjan Verma,Dwarka Sector 6,Delhi,Dermatologist,900,93,11,Manipal Hospital,56
68,Dr. Naveen Saith,Siri Fort Road,Delhi,Dermatologist,1000,100,35,Sama Hospital,4
69,Dr. Vinod Kumar Khurana,Punjabi Bagh,Delhi,Dermatologist,1200,100,44,CK Birla Hospital,1
70,Dr. Megha Tandon,Defence Colony,Delhi,Dermatologist,1000,100,5,Dermaclinix,1
71,Dr. Monica Chahar,Dwarka Sector 19,Delhi,Dermatologist,700,98,13,Skin Decor,198
72,Dr. Sweety Darall,Janakpuri,Delhi,Dermatologist,1000,100,10,Skinisma Aesthetics,22
73,Dr. Rahul Nagar,Saket,Delhi,Dermatologist,1200,90,15,Max Super Speciality Hospital - Saket West Wing,7
74,Dr. Jaishree Noor,Vasant Vihar,Delhi,Dermatologist,1500,94,19,Tvak Laser Clinic,17
75,Dr. Neha Tandon,Dwarka Sector 6,Delhi,Dermatologist,900,25,16,Manipal Hospital,2
76,Dr. Jasmine Kohli,Saket,Delhi,Dermatologist,1000,75,4,Max Smart Superspeciality Hospital,4
77,Dr. Sarita Sanke,Greater Kailash Part 1,Delhi,Dermatologist,800,100,12,Dermorita,1
78,Dr. J.K. Jain,Patparganj,Delhi,Dermatologist,1000,20,53,Max Super Speciality Hospital,7
79,Dr. Prateek Nagrani,East Of Kailash,Delhi,Dermatologist,1000,,4,Pulastya Skin And Eye Clinic,7
80,Dr. Deepak Jakhar,Dwarka Sector 19,Delhi,Dermatologist,600,100,9,Dermosphere Clinic,10
81,Dr. Nisha Shokeen,Panchsheel Park,Delhi,Dermatologist,1000,,10,Alive Wellness Clinics,10
82,Dr. Sumaiyah Faizan,CR Park,Delhi,Dermatologist,1000,,6,Care Well Medical Centre,10
83,Dr. Astuty Apurwa,Dwarka Sector 12,Delhi,Dermatologist,1000,,9,Rejuvenaids Clinic,10
84,Dr. Ishmeet Kaur,Dwarka Sector 19,Delhi,Dermatologist,600,100,6,Dermosphere Clinic,
85,Dr. Ridhima Lakhani,Punjabi Bagh,Delhi,Dermatologist,1000,,6,Skin Well Dermatology and Cosmetology Clinic,
86,Dr. Vinay Singh,Pitampura,Delhi,Dermatologist,1700,92,28,Vibrance Wellness Vista,187
87,Dr. Sooneita Wagh Markan,Hari Nagar,Delhi,Dermatologist,1000,96,33,"Anantanand Skin, Aesthetic & Laser Clinic",209
88,Dr. Manoj Jain,Vikas Puri,Delhi,Dermatologist,1200,91,38,Vardhman Skin Clinic and  Laser Centre,108
89,Dr. Vijay Singhal,Punjabi Bagh,Delhi,Dermatologist,800,93,18,Zenith Skin Hair & Dental Centre,155
90,Dr. Dheeraj Setia,Panchsheel Park,Delhi,Dentist,500,98,22,The Dental Roots,65
91,Dr. Geetanjali Marya,Greater Kailash Part 2,Delhi,Dentist,500,98,36,Marya's Dental and Implant Centre,26
92,Dr. Kapil Saroha,Rohini,Delhi,Dentist,500,97,14,Kapil Dental Clinic and Implant Center,133
93,Dr. Karan Marya,Greater Kailash Part 2,Delhi,Dentist,500,96,40,Marya's Dental and Implant Centre,34
94,Dr. Radhika Sahni,New Friends Colony,Delhi,Dentist,1000,99,27,Dr. Sahni's Dental Clinic,127
95,Dr. Tanvir Singh,Chattarpur,Delhi,Dentist,500,96,28,Dentem the Dental & Orthodontic Clinic,76
96,Dr. Gunita Singh,Chattarpur,Delhi,Dentist,500,94,25,Dentem the Dental & Orthodontic Clinic,17
97,Dr. Sourabh Nagpal,Vasant Vihar,Delhi,Dentist,500,98,18,Matrix Dental & Skin Lounge,630
98,Dr. Ruchi Gupta,Pitampura,Delhi,Dentist,300,98,16,Dr. Gupta ENT & Dental Care Centre,110
99,Dr. Yash Anand,Vikas Puri,Delhi,Dentist,300,98,14,"Yash Dental, Orthodontic And Aesthetic Centre",252
100,Dr. Deepa Singh,Mayur Vihar Ph-III,Delhi,Dentist,400,99,18,Multispeciality Dental Clinic,177
101,Dr. Anil Kochar,Tilak Nagar,Delhi,Dentist,500,98,26,Kochar Dental Clinic,86
102,Dr. Navneet Singh Kukreja,Pitampura,Delhi,Dentist,500,88,14,Dr. Kukreja's Super Speciality Dental Centre,16
103,Dr. Sumanto Bagchi,Dwarka,Delhi,Dentist,500,99,17,Dr. Bagchi's Dentology,238
104,Dr. Varun Raj Kumar,Saket,Delhi,Dentist,1000,100,14,The Specialist Clinic Dental and Medical Care,17
105,Dr. Neetu Kamra,Pusa Road,Delhi,Dentist,800,100,25,BLK-Max Super Speciality Hospital,
106,Dr. Aman Popli,Saket,Delhi,Dentist,1200,100,27,Max Super Speciality Hospital - Saket East Wing,
107,Dr. Naveen Gupta,Karol Bagh,Delhi,Dentist,600,95,25,Smile N Care Dental Clinics : Dental Care & Implant Center,234
108,Dr. Abhishek Kukreja,Pitampura,Delhi,Dentist,400,100,17,Dr. Kukreja's Super Speciality Dental Centre,
109,Dr. Col. Saroj Kumar Ojha,Dwarka,Delhi,Dentist,500,97,41,"Feliz Dent Advance Dental Care, Laser & Implant Centre",181
110,Dr. (Maj) Shubhashish Halder,Kapashera,Delhi,Dentist,300,100,26,Usha Dental Care,33
111,Dr. Manish Gupta,Munirka,Delhi,Dentist,1000,99,29,Kamal Dental Clinic,179
112,Dr. Harsh Goyal,Janakpuri,Delhi,Dentist,500,100,14,Dr Goyals Dental Center and Implant Centre,424
113,Dr. Anil Kohli,Lajpat Nagar,Delhi,Dentist,1000,97,46,Dr. Soni's Dental Clinic,210
114,Dr. Asheesh Gupta,Rohini,Delhi,Dentist,250,95,24,Dr. Gupta's Dental Implants & Braces Clinic,157
115,Dr. Shivani Kataria,Patel Nagar West,Delhi,Dentist,300,99,10,Dental Elegance,136
116,Dr. Animesh Agarwal,Kingsway Camp,Delhi,Dentist,200,99,17,Delhi Dental Cosmetics,950
117,Dr. Sachin Bansal,Pitampura,Delhi,Dentist,400,99,21,S.R Dental Implants & Braces Centre,309
118,Dr. Amandeep Sapra,Lajpat Nagar,Delhi,Dentist,400,98,24,Dental Blessings Clinic,208
119,Dr. Anoop Jain,Rohini,Delhi,Dentist,200,99,15,Dental Xperts - RCT & Implant Dental clinic,371
120,Dr. Navin Pahwa,Rohini,Delhi,Dentist,500,91,27,Dr Pahwa's Dental Centre,11
121,Dr. Sushen Sharma,Patel Nagar West,Delhi,Dentist,300,99,14,Kripa Dental and Implant Centre,110
122,Dr. Nidhi Gupta,New Friends Colony,Delhi,Dentist,600,99,23,Dentaris,192
123,Dr. Priya,Pitampura,Delhi,Dentist,500,75,15,Dr. Kukreja's Super Speciality Dental Centre,
124,Dr. Inder Preet Singh,Paschim Vihar,Delhi,Dentist,500,97,26,Dr. Preet's Dental & Orthodontic Clinic,35
125,Dr. Davinder Pal Singh,Mukherjee Nagar,Delhi,Dentist,400,98,20,INNODENT - Innovative Dentistry,66
126,Dr. Prachi Kohli,Kamla Nagar,Delhi,Dentist,300,100,14,Asian Superspeciality Dental Clinic,51
127,Dr. Prof. Suraj R Suvarna,Sheikh Sarai,Delhi,Dentist,300,100,23,Multi Speciality Dental Clinic,109
128,Dr. Natalia Desilva,Greater Kailash Part 1,Delhi,Dentist,750,99,17,Orion Orthodontic & Dental Care Centre,26
129,Dr. Niraj Rampal,Greater Kailash Part 2,Delhi,Dentist,1500,100,46,Dr. Rampal Dental Clinic,24
130,Dr. Geeta Kalra,Lajpat Nagar,Delhi,Dentist,700,93,23,Dr. Kalra's Dental & Orthodontic Clinic,63
131,Dr. Prashant Ojha,Saket,Delhi,Dentist,300,91,17,White Willow Multi-Speciality Dental Clinic,119
132,Dr. Harveen Nakra,Rajouri Garden,Delhi,Dentist,500,100,23,Dental World,212
133,Dr. Neha Singhal,Kingsway Camp,Delhi,Dentist,200,99,16,Delhi Dental Cosmetics,19
134,Dr. Rajeev Aggarwal,Vasant Kunj,Delhi,Dentist,800,99,24,Muskan Dental & Implant Clinic,241
135,Dr. Jyoti Ahlawat,Vasundhra Enclave,Delhi,Dentist,500,99,15,The Tooth Dental and Orofacial Clinic,111
136,Dr. Kamal Gandhi,Vasant Vihar,Delhi,Dentist,800,98,27,Gandhis Dental Care,118
137,Dr. Vishal Arya,Pitampura,Delhi,Dentist,500,98,25,Dental & Implant Centre,170
138,Dr. Mansi Arora,Paschim Vihar,Delhi,Dentist,500,99,18,Dental Care 'n' Cure,221
139,Dr. Rahul Kamra,Vikas Puri,Delhi,Dentist,500,98,27,Dr. Kamra's Dental Health Clinic,38
140,Dr. Pallavi Dhama,IP Extension,Delhi,Dentist,300,100,14,DentaWell,74
141,Dr. Kapil Gandhi,CR Park,Delhi,Dentist,800,98,26,Dental Masters,139
142,Dr. Abhishek Arora,Malviya Nagar,Delhi,Dentist,500,99,21,Dr. Abhishek Arora's Dental Care Centre,573
143,Dr. Shivani Mangal,Dwarka Sector 23,Delhi,Dentist,300,100,12,Cusp Dental,146
144,Dr. Deepak Nakra,Rajouri Garden,Delhi,Dentist,500,98,23,Dental World,36
145,Dr. Anupam Sinha,Greater Kailash Part 1,Delhi,Dentist,750,97,21,Orion Orthodontic & Dental Care Centre,60
146,Dr. Gaurav Goel,Patparganj,Delhi,Dentist,500,97,23,Muskaan Dental Clinic,42
147,Dr. Madhumani Kumra,Greater Kailash Part 1,Delhi,Dentist,750,99,29,Smayate Multispeciality Dental Clinic,105
148,Dr. Anurag Ahuja,Mayur Vihar Ph-I,Delhi,Dentist,300,97,16,City Dental Centre,1210
149,Dr. Manish Kalra,Lajpat Nagar,Delhi,Dentist,700,97,26,Dr. Kalra's Dental & Orthodontic Clinic,98
150,Dr. Priya Oberoi,Kalkaji,Delhi,Dentist,500,97,22,Smiles Dental Care,46
151,Dr. Deepak Punhani,Vikas Puri,Delhi,Dentist,500,97,24,Punhani Tooth Care,170
152,Dr. Abhinav Gupta,Vijaynagar,Delhi,Dentist,500,98,20,Gupta Dental Clinic,129
153,Dr. Pankaj Rao,Dwarka,Delhi,Dentist,500,97,17,Oraa Care Smile Dental Clinic,765
154,Dr. Simran,Paschim Vihar,Delhi,Dentist,500,97,16,Dental Works Clinic,62
155,Dr. Surpreet Bhandari,Laxmi Nagar,Delhi,Dentist,500,100,11,Delhi Dental Studio,96
156,Dr. Nidhi Bansal,Pitampura,Delhi,Dentist,400,99,19,S.R Dental Implants & Braces Centre,177
157,Dr. Swapnil Gupta,Alaknanda,Delhi,Dentist,300,97,15,Care Dental,217
158,Dr. Manak Gupta,Dwarka,Delhi,Dentist,500,99,17,Dental Expertz,337
159,Dr. Vidhya Vasanth,Jangpura,Delhi,Dentist,200,100,9,K R Dental and Aesthetic Clinic,17
160,Dr. Sanjeev K Garg,Pitampura,Delhi,Dentist,700,98,29,Dental Hive  Dr Gargs Dental Care & Cure Centre,36
161,Dr. Ashish Bansal,Pitampura,Delhi,Dentist,400,98,12,S.R Dental Implants & Braces Centre,49
162,Dr. Priyank Bhandari,Laxmi Nagar,Delhi,Dentist,500,99,11,Delhi Dental Studio,99
163,Dr. Mukul Prabhat,Shahdara,Delhi,Dentist,375,96,15,Prabhat Dental Care,7
164,Dr. Rohit Yadav,Dwarka Sector 23,Delhi,Dentist,300,100,11,Cusp Dental,117
165,Dr. Ritu S Bhola,Vishnu Garden,Delhi,Dentist,500,91,19,Dr. Ritu's Dental Centre,14
166,Dr. Shilpa Bharti,Malviya Nagar,Delhi,Dentist,500,99,15,Dr Shilpa's Dental Clinic,162
167,Dr. Vijay Tanwar,Chattarpur,Delhi,Dentist,500,98,11,Dr. Vijay's Dental Spa,84
168,Dr. Arun Kant,Dwarka,Delhi,Dentist,500,99,13,Naturopathy Dental - Dr. Arun Kant MDS Clinic,793
169,Dr. Amit Kumar Gupta,Yamuna Vihar,Delhi,Dentist,500,98,21,Dentavista -  Super Speciality Dental Clinic & Orthodontic Center,120
170,Dr. Anita Yadav,Lajpat Nagar,Delhi,Dentist,300,100,7,The Smile Experts Dental and Implant Dynamics,32
171,Dr. Naina Chopra,Ramesh Nagar,Delhi,Dentist,600,100,17,Dr. Chopra's Dental Braces And Implant Clinic,102
172,Dr. Neeti Sharma,Katwaria Sarai,Delhi,Dentist,350,96,13,Healthy Smiles Dental Clinic,64
173,Dr. Aman Sachdev,Paschim Vihar,Delhi,Dentist,500,100,12,Essence Dental,18
174,Dr. Sumit Aggarwal,Kamla Nagar,Delhi,Dentist,300,98,12,Aggarwal Dental,60
175,Dr. Karuna Bector  Arora,Vasant Vihar,Delhi,Dentist,500,100,12,Dr Aman's Tooth Town,15
176,Dr. Vineet Jain,Pitampura,Delhi,Dentist,500,98,21,Wisdom Bites Dental Clinic and Implant Centre,52
177,Dr. Sumit Dubey,Lajpat Nagar,Delhi,Dentist,600,97,20,Dr Dubey 's Dental Clinic,41
178,Dr. Ramandeep Singh Chawla,Janakpuri,Delhi,Dentist,400,100,13,Chawla Dental Clinic & Surgical Center,56
179,Dr. Aval Luthra,Vasant Kunj,Delhi,Dentist,700,97,22,Dental Arche,46
180,Dr. Neeraj Pasricha,Paschim Vihar,Delhi,Homoeopath,1000,93,41,Pasricha Homeo Care Clinics,75
181,Dr. Sneh Khera,Lajpat Nagar 4,Delhi,Homoeopath,330,93,38,Dr Khera's Homoeopathic Clinic,119
182,Dr. Sunil Kumar Dwivedi,Dwarka,Delhi,Homoeopath,400,93,18,SD Homoeopathy Multispecality Clinic,141
183,Dr. Ranjana Gupta,Dwarka,Delhi,Homoeopath,700,93,27,Sanjeevni Homeo Clinic,129
184,Dr. Ajay Kumar Grover,Old Rajendra Nagar,Delhi,Homoeopath,900,100,32,Dr. Bakshi's Healthcare,22
185,Dr. C B Singh,Laxmi Nagar,Delhi,Homoeopath,500,91,11,Dr Singh Clinic,492
186,Dr. R.C Upadhyaya,Vasundhra Enclave,Delhi,Homoeopath,1300,92,36,Dr. Upadhyaya's Homoeopathy,85
187,Dr. Pratima Grover,Mayur Vihar Ph-I,Delhi,Homoeopath,500,98,38,Holistic Homoeopathic Care,42
188,Dr. Madhav Shyam,Dwarka Sector 12,Delhi,Homoeopath,300,95,28,Nano Homeopathy,57
189,Dr. Mukta Garg,Janakpuri,Delhi,Homoeopath,500,100,25,Niruja Homeopathic Solutions,60
190,Dr. Shashi Garg,Janakpuri,Delhi,Homoeopath,700,91,24,Titiksha Homeo Clinic,8
191,Dr. Preeti Sengar,Mahipalpur,Delhi,Homoeopath,300,92,13,Dr. Preeti Homeopathic Clinic,32
192,Dr. Shweta Bhandari,Krishna Nagar,Delhi,Homoeopath,1000,96,15,Bhandari Dental & Homeopathic Clinic,23
193,Dr. Chhavi Bansal,Pitampura,Delhi,Homoeopath,700,98,13,Homeosure - Home of Homeopathy and Wellness,110
194,Dr. Mridu Avinashi,Rajouri Garden,Delhi,Homoeopath,700,50,36,Avinashi Homoeopathic Clinic,2
195,Dr. Poonam Pasricha,Paschim Vihar,Delhi,Homoeopath,1000,100,38,Pasricha Homeo Care Clinics,2
196,Dr. Inderpreet Batra,Greater Kailash Part 1,Delhi,Homoeopath,1000,93,34,GK Homeo Clinic,13
197,Dr. Anika Gupta,Rohini Sector 11,Delhi,Homoeopath,500,100,13,Dr Anika's Homoeo Health Care,66
198,Dr. Gurpreet Juneja,Patel Nagar,Delhi,Homoeopath,500,96,27,Dr Gurpreet Juneja's Homeopathy Clinic,24
199,Dr. Vandana Mittal,Malviya Nagar,Delhi,Homoeopath,500,50,28,Dr. Vandana's Mittal Clinic,2
200,Dr. Rupinder Kaur,Old Rajendra Nagar,Delhi,Homoeopath,900,100,14,Dr. Bakshi's Healthcare,9
201,Dr. Santosh Kumari,Kamla Nagar,Delhi,Homoeopath,450,,11,Dr Batra's Positive Health Clinic Pvt Ltd,9
202,Dr. Gurdeep Dhiman,Tilak Nagar,Delhi,Homoeopath,350,95,10,Pranjal  Homeopathic Clinic,19
203,Dr. Geetika Bansal,Dwarka Sector 2,Delhi,Homoeopath,400,80,25,Dr Geetika's Homeopathic Clinic,5
204,Dr. Jigyasa Wadhwa,Krishna Nagar,Delhi,Homoeopath,1000,96,13,Wadhwa Healing Touch Homoeopathic Clinic,22
205,Dr. Junaid Alam,Neb Sarai,Delhi,Homoeopath,300,100,17,Holistic Homeopathic Health Care Centre,52
206,Dr. Priyanka M. Tiwari,Paschim Vihar,Delhi,Homoeopath,350,100,13,Dalco Healthcare Pvt. Ltd,28
207,Dr. Pallavi Joshi,Saket,Delhi,Homoeopath,500,100,16,Vashishtha Homoeopathic Clinic,73
208,Dr. Ankita Bali,Connaught Place,Delhi,Homoeopath,97,100,8,Pushpveda Homoeopathic Treatment and Research Centre,6
209,Dr. Reena Agarwal,Kamla Nagar,Delhi,Homoeopath,450,82,16,Dr Batra's Positive Health Clinic Pvt Ltd,41
210,Dr. Nidhi Bhatt,Hari Nagar,Delhi,Homoeopath,700,100,5,Dr  Rashmi's Homoeopathic Clinic,1
211,Dr. Ekta Agrawal Goel,Rohini Sector 16,Delhi,Homoeopath,250,100,11,Goel Homoeopathic Clinic,1
212,Dr. Komal Rathore,Paschim Vihar,Delhi,Homoeopath,500,100,6,Homoeopathy for Health and Happiness,6
213,Dr. Kapil Chawla,Karol Bagh,Delhi,Homoeopath,450,40,27,Dr Batra's Positive Health Clinic Pvt Ltd,5
214,Dr. Archana Verma,Mayur Vihar Ph-II,Delhi,Homoeopath,700,,10,Guru Homoeopathic Clinic,5
215,Dr. Raj Kumar Bajpai,CR Park,Delhi,Homoeopath,800,92,51,Gaea Wellness,9
216,Dr. Maniya Arora,Karampura,Delhi,Homoeopath,700,,4,dr Arora's homeo clinic,9
217,Dr. JPS Bakshi,Old Rajendra Nagar,Delhi,Homoeopath,1500,100,37,Dr. Bakshi's Healthcare,13
218,Dr. Tushar Mittal,Preet Vihar,Delhi,Homoeopath,450,67,20,Dr Batra's Positive Health Clinic Pvt Ltd,5
219,Dr. Saurabh Kalra,Dwarka,Delhi,Homoeopath,450,100,21,Dr Batra's Positive Health Clinic Pvt Ltd,1
220,Dr. Deepak Devakar,JP Nagar,Bangalore,Dermatologist,600,98,19,Dermasculpt Hair Transplant and Skin Clinic,589
221,Dr. Rajdeep,JP Nagar 2 Phase,Bangalore,Dermatologist,750,96,14,Chirag Hospital,182
222,Dr. A Aruna Prasad,Yeshwanthpur,Bangalore,Dermatologist,950,90,27,Manipal Hospitals Yeshwanthpur,166
223,Dr. Sachith Abraham,Old Airport Road,Bangalore,Dermatologist,1100,95,30,Manipal Hospitals Old Airport Road,188
224,Dr. Jyothi Menon,Koramangala 7 Block,Bangalore,Dermatologist,700,97,22,Oliva Skin & Hair Clinic,38
225,Dr. P S Murthy,Whitefield,Bangalore,Dermatologist,900,100,41,Manipal Hospital Varthur Road,3
226,Dr. Sankeerth Vijayakumar,HSR Layout,Bangalore,Dermatologist,700,97,13,Dermaville,171
227,Dr. Deepa,Sarjapur Road,Bangalore,Dermatologist,600,98,15,Kritash Skin and Asthetic Clinic,98
228,Dr. Shivashankar B. Sajjanshetty,JP Nagar 2 Phase,Bangalore,Dermatologist,750,97,19,Tricho-Derma Hair & Skin Speciality Clinic,337
229,Dr. Sandeep Mahapatra,Marathahalli,Bangalore,Dermatologist,800,90,18,Neo Follicle Transplant Clinic,1021
230,Dr. Sheelavathi Natraj,JP Nagar,Bangalore,Dermatologist,700,94,19,Sapphire Skin and Aesthetics Clinic,608
231,Dr. Shashidhar T,Jayanagar 4 Block,Bangalore,Dermatologist,700,98,16,Dermacare Skin & Hair Clinic,723
232,Dr. Harish Prasad B.R,BTM Layout,Bangalore,Dermatologist,700,95,16,Vitals Skin and Hair Klinic,366
233,Dr. Janet Alexander Castelino,HSR Layout,Bangalore,Dermatologist,2000,92,30,DermaZeal Clinic,3525
234,Dr. Ramanjanayalu,Kasturi nagar,Bangalore,Dermatologist,800,97,17,Skin Remediez,107
